Year,National,MiddleStates,Midwest,NewEngland,South,Southwest,West
1990,1910,2080,2130,2550,1800,1180,1400
1991,2110,2770,2300,3390,1880,1270,1690
1992,2330,3090,2620,3630,2010,1410,1970
1993,2540,3360,2770,3950,2180,1550,2240
1994,2710,3520,2920,4090,2260,1730,2490
1995,2810,3730,3100,4240,2320,1870,2560
1996,2980,3910,3260,4320,2430,2160,2590
1997,3110,4060,3470,4530,2540,2320,2680
1998,3250,4200,3650,4640,2680,2530,2660
1999,3360,4510,3810,4680,2730,2720,2680
2000,3510,4690,3990,4750,2910,2930,2750
2001,3770,4780,4220,4890,3190,3210,2930
2002,4100,5590,4890,5350,3380,3400,3030
2003,4650,5930,5450,6240,3810,3930,3700
2004,5130,6290,6070,6880,4130,4690,4120
2005,5490,6600,6570,7260,4430,5040,4470
2006,5800,6860,6930,7670,4730,5540,4650
2007,6190,7250,7380,8120,5020,5980,5030
2008,6600,7570,7790,8630,5430,6450,5470
2009,7070,8000,8120,9380,5780,6710,6310
2010,7630,8410,8530,9840,6470,7100,7140
2011,8280,8910,9010,10500,7140,7430,8260
2012,8650,9210,9370,11030,7640,7730,8560
2013,8890,9430,9570,11220,8040,7950,8730
2014,9150,9790,9740,11460,8370,8280,8910
2015,9430,10090,9940,11970,8730,8620,9050
2016,9670,10410,10210,12510,8960,9010,9090
2017,9980,10730,10430,12960,9280,9370,9530
2018,10210,11020,10670,13420,9440,9600,9740
2019,10440,11280,10970,13960,9590,9980,9880
2020,10570,11330,11170,14310,9650,10300,10030
2021,10750,11570,11430,14520,9760,10530,10120
2022,10990,11840,11790,15000,9820,10660,10510
2023,11260,12110,12230,15330,9970,10760,10820
